benchmark,n_queries,arm/method,metric,value,source_file,status,notes
RealTalk,705,sign96,recall3,0.22553482307028402,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
RealTalk,705,sign96,hit10,0.4668085106382979,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
RealTalk,705,sign96,recall10,0.3450072037856659,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
RealTalk,705,sign96,hit100,0.7294024580914432,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
RealTalk,705,sign96,recall100,0.5789095859380189,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
RealTalk,705,sign88_top,hit3,0.2782505910165485,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
RealTalk,705,sign88_top,recall3,0.20828323764493978,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
RealTalk,705,sign88_top,hit10,0.44986828774062815,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
RealTalk,705,sign88_top,recall10,0.3303708257857194,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
RealTalk,705,sign88_top,hit100,0.7188466115851818,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
RealTalk,705,sign88_top,recall100,0.5713194079965712,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
RealTalk,705,sign80_top,hit3,0.2615130023640662,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
RealTalk,705,sign80_top,recall3,0.1996983751735525,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
RealTalk,705,sign80_top,hit10,0.4255675293973166,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
RealTalk,705,sign80_top,recall10,0.31777044337328025,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
RealTalk,705,sign80_top,hit100,0.7073792836449497,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
RealTalk,705,sign80_top,recall100,0.5696066571266808,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
LME,470,svd96_before_center_cos,Hit@10-percent,82.76595744680851,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HATA_YERI_OZET_2026-09-16.json,CLAIM,producer diagnostic
LME,470,centered_cos,Hit@10-percent,82.5531914893617,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HATA_YERI_OZET_2026-09-16.json,CLAIM,producer diagnostic
LME,470,standardized_cos,Hit@10-percent,88.29787234042553,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HATA_YERI_OZET_2026-09-16.json,CLAIM,producer diagnostic
LME,470,doc_sign_query_raw,Hit@10-percent,85.74468085106382,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HATA_YERI_OZET_2026-09-16.json,CLAIM,producer diagnostic
LME,470,doc_sign_query_std,Hit@10-percent,88.51063829787233,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HATA_YERI_OZET_2026-09-16.json,CLAIM,producer diagnostic; qscale reproduced EXACTLY by coordinator
LME,470,query_sign_doc_std,Hit@10-percent,87.65957446808511,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HATA_YERI_OZET_2026-09-16.json,CLAIM,producer diagnostic; coordinator replay DEVIATED (see verify rows)
LME,470,sign96,Hit@10-percent,86.0773387369132,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HATA_YERI_OZET_2026-09-16.json,CLAIM,producer diagnostic
PerLTQA,8265,svd96_before_center_cos,Hit@10-percent,80.48396854204476,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HATA_YERI_OZET_2026-09-16.json,CLAIM,producer diagnostic
PerLTQA,8265,centered_cos,Hit@10-percent,80.81064730792498,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HATA_YERI_OZET_2026-09-16.json,CLAIM,producer diagnostic
PerLTQA,8265,standardized_cos,Hit@10-percent,83.95644283121597,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HATA_YERI_OZET_2026-09-16.json,CLAIM,producer diagnostic
PerLTQA,8265,doc_sign_query_raw,Hit@10-percent,80.1935874168179,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HATA_YERI_OZET_2026-09-16.json,CLAIM,producer diagnostic
PerLTQA,8265,doc_sign_query_std,Hit@10-percent,80.0,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HATA_YERI_OZET_2026-09-16.json,CLAIM,producer diagnostic; qscale reproduced EXACTLY by coordinator
PerLTQA,8265,query_sign_doc_std,Hit@10-percent,79.73381730187538,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HATA_YERI_OZET_2026-09-16.json,CLAIM,producer diagnostic; coordinator replay DEVIATED (see verify rows)
PerLTQA,8265,sign96,Hit@10-percent,75.76122962874324,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HATA_YERI_OZET_2026-09-16.json,CLAIM,producer diagnostic
RealTalk,705,svd96_before_center_cos,Hit@10-percent,36.45390070921986,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HATA_YERI_OZET_2026-09-16.json,CLAIM,producer diagnostic
RealTalk,705,centered_cos,Hit@10-percent,36.59574468085106,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HATA_YERI_OZET_2026-09-16.json,CLAIM,producer diagnostic
RealTalk,705,standardized_cos,Hit@10-percent,48.51063829787234,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HATA_YERI_OZET_2026-09-16.json,CLAIM,producer diagnostic
RealTalk,705,doc_sign_query_raw,Hit@10-percent,43.54609929078014,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HATA_YERI_OZET_2026-09-16.json,CLAIM,producer diagnostic
RealTalk,705,doc_sign_query_std,Hit@10-percent,49.645390070921984,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HATA_YERI_OZET_2026-09-16.json,CLAIM,producer diagnostic; qscale reproduced EXACTLY by coordinator
RealTalk,705,query_sign_doc_std,Hit@10-percent,50.35460992907801,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HATA_YERI_OZET_2026-09-16.json,CLAIM,producer diagnostic; coordinator replay DEVIATED (see verify rows)
RealTalk,705,sign96,Hit@10-percent,46.68085106382979,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HATA_YERI_OZET_2026-09-16.json,CLAIM,producer diagnostic
PerLTQA,8265,qscale,Hit@10-percent-realized,80.0,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/coordinator/verify_incoming.json,CLAIM,coordinator independent replay; producer claimed 80.0000; dev 0.0000 pp
PerLTQA,8265,qsign_dstd,Hit@10-percent-realized,79.4676,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/coordinator/verify_incoming.json,CLAIM,coordinator independent replay; producer claimed 79.7338; dev -0.2662 pp
LME,470,qscale,Hit@10-percent-realized,88.5106,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/coordinator/verify_incoming.json,CLAIM,coordinator independent replay; producer claimed 88.5106; dev 0.0000 pp
LME,470,qsign_dstd,Hit@10-percent-realized,88.2979,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/coordinator/verify_incoming.json,CLAIM,coordinator independent replay; producer claimed 87.6596; dev 0.6383 pp
REALTALK,705,qscale,Hit@10-percent-realized,49.6454,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/coordinator/verify_incoming.json,CLAIM,coordinator independent replay; producer claimed 49.6454; dev 0.0000 pp
REALTALK,705,qsign_dstd,Hit@10-percent-realized,49.5035,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/coordinator/verify_incoming.json,CLAIM,coordinator independent replay; producer claimed 50.3546; dev -0.8511 pp
ALL,9440,qscale-vs-baseline-old-arms,old-arm-max-dev-pp,0.0,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/coordinator/verify_incoming.json,CLAIM,PartA: 12/12 old-arm cells matched EXACTLY (0.000000 pp)
ALL,9440,qsign_dstd,max-abs-dev-pp,0.8511,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/coordinator/verify_incoming.json,CLAIM,PartB: qsign_dstd deviated LME +0.6383 / PerLTQA -0.2662 / RealTalk -0.8511 pp -> NOT reproduced
LME,470,hamming,Hit@10-percent,86.0773387369132,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer cached replay + LoCoMo transfer; LoCoMo NOT blind/hidden per file
LME,470,weighted,Hit@10-percent,88.51063829787233,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer cached replay + LoCoMo transfer; LoCoMo NOT blind/hidden per file
LME,470,float32,Hit@10-percent,88.29787234042553,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer cached replay + LoCoMo transfer; LoCoMo NOT blind/hidden per file
LME,470,float_std64,Hit@10-percent,88.29787234042553,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer cached replay + LoCoMo transfer; LoCoMo NOT blind/hidden per file
LME,470,float_raw64,Hit@10-percent,82.5531914893617,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer cached replay + LoCoMo transfer; LoCoMo NOT blind/hidden per file
LME,470,asym_raw,Hit@10-percent,85.74468085106382,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer cached replay + LoCoMo transfer; LoCoMo NOT blind/hidden per file
LME,470,hamming,fractional-Recall@100-percent,90.09887562043794,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer; gap to float remains (no sweep claim)
LME,470,weighted,fractional-Recall@100-percent,93.88297872340425,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer; gap to float remains (no sweep claim)
LME,470,float32,fractional-Recall@100-percent,95.29078014184398,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer; gap to float remains (no sweep claim)
LME,470,float_std64,fractional-Recall@100-percent,95.29078014184398,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer; gap to float remains (no sweep claim)
LME,470,float_raw64,fractional-Recall@100-percent,95.67730496453902,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer; gap to float remains (no sweep claim)
LME,470,asym_raw,fractional-Recall@100-percent,93.47517730496455,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer; gap to float remains (no sweep claim)
PerLTQA,8265,hamming,Hit@10-percent,75.76122962874324,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer cached replay + LoCoMo transfer; LoCoMo NOT blind/hidden per file
PerLTQA,8265,weighted,Hit@10-percent,80.0,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer cached replay + LoCoMo transfer; LoCoMo NOT blind/hidden per file
PerLTQA,8265,float32,Hit@10-percent,83.95644283121597,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer cached replay + LoCoMo transfer; LoCoMo NOT blind/hidden per file
PerLTQA,8265,float_std64,Hit@10-percent,83.95644283121597,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer cached replay + LoCoMo transfer; LoCoMo NOT blind/hidden per file
PerLTQA,8265,float_raw64,Hit@10-percent,80.81064730792498,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer cached replay + LoCoMo transfer; LoCoMo NOT blind/hidden per file
PerLTQA,8265,asym_raw,Hit@10-percent,80.1935874168179,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer cached replay + LoCoMo transfer; LoCoMo NOT blind/hidden per file
PerLTQA,8265,hamming,fractional-Recall@100-percent,80.50638002492543,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer; gap to float remains (no sweep claim)
PerLTQA,8265,weighted,fractional-Recall@100-percent,82.38743353836936,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer; gap to float remains (no sweep claim)
PerLTQA,8265,float32,fractional-Recall@100-percent,85.37442424829275,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer; gap to float remains (no sweep claim)
PerLTQA,8265,float_std64,fractional-Recall@100-percent,85.37442424829275,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer; gap to float remains (no sweep claim)
PerLTQA,8265,float_raw64,fractional-Recall@100-percent,91.94125749274423,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer; gap to float remains (no sweep claim)
PerLTQA,8265,asym_raw,fractional-Recall@100-percent,86.41630751503317,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer; gap to float remains (no sweep claim)
RealTalk,705,hamming,Hit@10-percent,46.68085106382979,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer cached replay + LoCoMo transfer; LoCoMo NOT blind/hidden per file
RealTalk,705,weighted,Hit@10-percent,49.645390070921984,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer cached replay + LoCoMo transfer; LoCoMo NOT blind/hidden per file
RealTalk,705,float32,Hit@10-percent,48.51063829787234,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer cached replay + LoCoMo transfer; LoCoMo NOT blind/hidden per file
RealTalk,705,float_std64,Hit@10-percent,48.51063829787234,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer cached replay + LoCoMo transfer; LoCoMo NOT blind/hidden per file
RealTalk,705,float_raw64,Hit@10-percent,36.59574468085106,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer cached replay + LoCoMo transfer; LoCoMo NOT blind/hidden per file
RealTalk,705,asym_raw,Hit@10-percent,43.54609929078014,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer cached replay + LoCoMo transfer; LoCoMo NOT blind/hidden per file
RealTalk,705,hamming,fractional-Recall@100-percent,57.89095859380189,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer; gap to float remains (no sweep claim)
RealTalk,705,weighted,fractional-Recall@100-percent,62.373828672260935,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer; gap to float remains (no sweep claim)
RealTalk,705,float32,fractional-Recall@100-percent,65.47141602124805,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer; gap to float remains (no sweep claim)
RealTalk,705,float_std64,fractional-Recall@100-percent,65.47141602124805,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer; gap to float remains (no sweep claim)
RealTalk,705,float_raw64,fractional-Recall@100-percent,57.132763721163705,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer; gap to float remains (no sweep claim)
RealTalk,705,asym_raw,fractional-Recall@100-percent,60.75620147953986,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer; gap to float remains (no sweep claim)
LoCoMo,1531,hamming,Hit@10-percent,52.63802059033934,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer cached replay + LoCoMo transfer; LoCoMo NOT blind/hidden per file
LoCoMo,1531,weighted,Hit@10-percent,57.21750489875899,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer cached replay + LoCoMo transfer; LoCoMo NOT blind/hidden per file
LoCoMo,1531,float32,Hit@10-percent,61.005878510777265,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer cached replay + LoCoMo transfer; LoCoMo NOT blind/hidden per file
LoCoMo,1531,float_std64,Hit@10-percent,61.005878510777265,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer cached replay + LoCoMo transfer; LoCoMo NOT blind/hidden per file
LoCoMo,1531,float_raw64,Hit@10-percent,57.21750489875899,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer cached replay + LoCoMo transfer; LoCoMo NOT blind/hidden per file
LoCoMo,1531,asym_raw,Hit@10-percent,56.825604180274325,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer cached replay + LoCoMo transfer; LoCoMo NOT blind/hidden per file
LoCoMo,1531,hamming,fractional-Recall@100-percent,75.80271526991828,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer; gap to float remains (no sweep claim)
LoCoMo,1531,weighted,fractional-Recall@100-percent,78.74911549181992,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer; gap to float remains (no sweep claim)
LoCoMo,1531,float32,fractional-Recall@100-percent,84.13643904689134,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer; gap to float remains (no sweep claim)
LoCoMo,1531,float_std64,fractional-Recall@100-percent,84.13643904689134,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer; gap to float remains (no sweep claim)
LoCoMo,1531,float_raw64,fractional-Recall@100-percent,86.49725208536604,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer; gap to float remains (no sweep claim)
LoCoMo,1531,asym_raw,fractional-Recall@100-percent,81.28005020748488,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,producer; gap to float remains (no sweep claim)
LME,470,hamming,latency_us_score_only,0.835,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,"producer micro-timing, not quality"
LME,470,hamming,latency_us_query_prepare_score,0.8939,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,"producer micro-timing, not quality"
LME,470,hamming,latency_us_query_prepare_top10,15.5565,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,"producer micro-timing, not quality"
LME,470,weighted,latency_us_score_only,3.4535,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,"producer micro-timing, not quality"
LME,470,weighted,latency_us_query_prepare_score,3.7476,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,"producer micro-timing, not quality"
LME,470,weighted,latency_us_query_prepare_top10,18.1442,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,"producer micro-timing, not quality"
LME,470,weighted_simd,latency_us_score_only,1.4718,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,"producer micro-timing, not quality"
LME,470,weighted_simd,latency_us_query_prepare_score,1.7601,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,"producer micro-timing, not quality"
LME,470,weighted_simd,latency_us_query_prepare_top10,16.1298,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,"producer micro-timing, not quality"
LME,470,float32,latency_us_score_only,3.5518,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,"producer micro-timing, not quality"
LME,470,float32,latency_us_query_prepare_score,3.2189,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,"producer micro-timing, not quality"
LME,470,float32,latency_us_query_prepare_top10,17.7466,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,"producer micro-timing, not quality"
PerLTQA,8265,hamming,latency_us_score_only,0.7505,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,"producer micro-timing, not quality"
PerLTQA,8265,hamming,latency_us_query_prepare_score,1.0076,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,"producer micro-timing, not quality"
PerLTQA,8265,hamming,latency_us_query_prepare_top10,15.1017,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,"producer micro-timing, not quality"
PerLTQA,8265,weighted,latency_us_score_only,3.0141,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_HIZ_GENELLEME_OZET_2026-09-16.json,CLAIM,"producer micro-timing, not quality"
